tag_id,name,category,count,zh_name,zh_name_2,source,confidence,note,donmai_url,api_status
0,1girl,0,0,1个女性,1个女孩,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/1girl,
1,breasts,0,0,乳房,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/breasts,
2,long_hair,0,0,长发,长发|齐腰,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/long_hair,
3,solo,0,0,单独人物,单人,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/solo,
4,looking_at_viewer,0,0,看向阅图者,看着观众|镜头,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/looking_at_viewer,
5,blush,0,0,脸红,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blush,
6,large_breasts,0,0,巨乳,乳房-大|巨乳,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/large_breasts,
7,smile,0,0,微笑|笑容,微笑,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/smile,
8,navel,0,0,肚脐,肚脐|腹,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/navel,
9,open_mouth,0,0,张嘴的,张嘴,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/open_mouth,
10,nipples,0,0,乳头,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/nipples,
11,simple_background,0,0,朴素的背景,简单背景,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/simple_background,
12,cleavage,0,0,乳沟,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/cleavage,
13,blue_eyes,0,0,蓝眼睛,蓝眼|碧眼,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blue_eyes,
14,black_hair,0,0,黑发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/black_hair,
15,thighs,0,0,大腿,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/thighs,
16,1boy,0,0,1个男性,1个男孩,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/1boy,
17,ass,0,0,屁股,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/ass,
18,bare_shoulders,0,0,露肩,裸肩|露肩,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/bare_shoulders,
19,hair_ornament,0,0,发饰,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hair_ornament,
20,short_hair,0,0,短发,短发|齐脖,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/short_hair,
21,thighhighs,0,0,过膝袜和裤袜,到大腿的长筒袜,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/thighhighs,
22,hetero,0,0,异性恋,异性恋者,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hetero,
23,underwear,0,0,内衣,内衣|男女通用,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/underwear,
24,white_background,0,0,白色背景,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/white_background,
25,hair_between_eyes,0,0,延伸到两眼之间的刘海,两眼间的头发刘海,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hair_between_eyes,
26,collarbone,0,0,锁骨,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/collarbone,
27,shirt,0,0,衬衫,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/shirt,
28,gloves,0,0,手套,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/gloves,
29,blonde_hair,0,0,金发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blonde_hair,
30,animal_ears,0,0,兽耳,兽耳|兽娘,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/animal_ears,
31,nude,0,0,裸体,赤裸,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/nude,
32,sweat,0,0,汗水,几滴汗珠,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/sweat,
33,censored,0,0,打码的,审查,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/censored,
34,panties,0,0,内裤|短裤|裤袜,女式内裤|胖次,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/panties,
35,very_long_hair,0,0,很长的头发,超长发|到脚,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/very_long_hair,
36,red_eyes,0,0,红眼睛,红眼|赤目|赤眼,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/red_eyes,
37,swimsuit,0,0,泳装,泳衣,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/swimsuit,
38,jewelry,0,0,珠宝,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/jewelry,
39,medium_breasts,0,0,普通罩杯的胸,乳房-中|普乳,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/medium_breasts,
40,penis,0,0,阴茎,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/penis,
41,closed_mouth,0,0,闭着的嘴,闭嘴,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/closed_mouth,
42,brown_hair,0,0,棕色头发,棕发|茶发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/brown_hair,
43,multiple_girls,0,0,多个女孩,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/multiple_girls,
44,long_sleeves,0,0,长袖,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/long_sleeves,
45,sitting,0,0,坐,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/sitting,
46,skirt,0,0,短裙,裙子,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/skirt,
47,pussy,0,0,小穴,小猫咪,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/pussy,
48,bikini,0,0,比基尼,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/bikini,
49,purple_eyes,0,0,紫色的眼睛,紫眼睛,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/purple_eyes,
50,holding,0,0,拿着某物,拿着,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/holding,
51,standing,0,0,站立的,站立,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/standing,
52,multicolored_hair,0,0,多色的头发,五彩头发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/multicolored_hair,
53,tail,0,0,尾巴,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/tail,
54,dress,0,0,连衣裙,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/dress,
55,lying,0,0,躺着的,平躺|卧,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/lying,
56,sex,0,0,性交,性爱,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/sex,
57,sidelocks,0,0,披在耳前的发绺,鬓角|耳边细发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/sidelocks,
58,solo_focus,0,0,以单独人物为焦点,特写单人,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/solo_focus,
59,heart,0,0,心|心形|爱心,心形符号|红心,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/heart,
60,bow,0,0,蝴蝶结,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/bow,
61,2girls,0,0,2个女性,2个女孩,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/2girls,
62,twintails,0,0,双马尾,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/twintails,
63,stomach,0,0,小腹,下腹部|肚子,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/stomach,
64,blue_hair,0,0,蓝色头发,蓝发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blue_hair,
65,ribbon,0,0,丝带|缎带,缎带,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/ribbon,
66,indoors,0,0,室内,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/indoors,
67,small_breasts,0,0,贫乳|娇小的乳房,乳房-小|贫乳|微乳,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/small_breasts,
68,yellow_eyes,0,0,黄色的眼睛,黄眼睛,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/yellow_eyes,
69,white_hair,0,0,白发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/white_hair,
70,white_shirt,0,0,白衬衫,白色衬衫,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/white_shirt,
71,green_eyes,0,0,绿色的眼镜,绿眼睛,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/green_eyes,
72,blue_archive,0,0,蔚蓝档案、碧蓝档案、蓝色档案,,boorutagcart,medium,,https://danbooru.donmai.us/wiki_pages/blue_archive,
73,cowboy_shot,0,0,七分身镜头,美式牛仔镜头|中景镜头,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/cowboy_shot,
74,pink_hair,0,0,粉红色的头发,粉红发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/pink_hair,
75,grey_hair,0,0,灰色的头发|白发|银发,灰发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/grey_hair,
76,purple_hair,0,0,紫色头发,紫发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/purple_hair,
77,earrings,0,0,耳环,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/earrings,
78,tongue,0,0,舌头,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/tongue,
79,parted_lips,0,0,张开的嘴唇,张开双唇,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/parted_lips,
80,cum,0,0,精液,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/cum,
81,jacket,0,0,夹克,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/jacket,
82,halo,0,0,天使光环,光环,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/halo,
83,spread_legs,0,0,张开腿|M字张腿|桃色蹲姿|V字张腿,张开腿|M字开腿,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/spread_legs,
84,pantyhose,0,0,连裤袜|裤袜,连裤袜,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/pantyhose,
85,ponytail,0,0,马尾,扎马尾发型,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/ponytail,
86,braid,0,0,麻花辫,编辫子发型,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/braid,
87,choker,0,0,项圈,项圈|贴颈项链,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/choker,
88,ahoge,0,0,呆毛,呆毛|挑发,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/ahoge,
89,brown_eyes,0,0,棕色的眼睛,棕眼|茶目,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/brown_eyes,
90,huge_breasts,0,0,爆乳,乳房-巨|爆乳,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/huge_breasts,
91,hat,0,0,帽子,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hat,
92,mosaic_censoring,0,0,打了马赛克,马赛克遮挡,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/mosaic_censoring,
93,vaginal,0,0,阴道,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/vaginal,
94,virtual_youtuber,0,0,虚拟Youtuber|Vtuber,虚拟主播,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/virtual_youtuber,
95,completely_nude,0,0,完全裸体,全裸,boorutagcart,medium,api_han_candidates,https://danbooru.donmai.us/wiki_pages/completely_nude,ok
96,horns,0,0,角|有角的,角,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/horns,
97,teeth,0,0,牙齿,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/teeth,
98,tongue_out,0,0,吐舌头,伸出舌头,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/tongue_out,
99,outdoors,0,0,户外|野战,户外活动,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/outdoors,
100,barefoot,0,0,裸足,赤脚,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/barefoot,
